Año=2019;  Mes=1;  Dia=1;  Camas disponibles=5
Año=2019;  Mes=3;  Dia=2;  Camas disponibles=21
Año=2019;  Mes=3;  Dia=3;  Camas disponibles=11
Año=2019;  Mes=3;  Dia=4;  Camas disponibles=42
Año=2019;  Mes=3;  Dia=5;  Camas disponibles=367
Año=2019;  Mes=3;  Dia=6;  Camas disponibles=179
Año=2019;  Mes=3;  Dia=7;  Camas disponibles=396
Año=2019;  Mes=3;  Dia=8;  Camas disponibles=278
Año=2019;  Mes=3;  Dia=9;  Camas disponibles=370
Año=2019;  Mes=3;  Dia=10;  Camas disponibles=236
Año=2019;  Mes=3;  Dia=11;  Camas disponibles=186
Año=2019;  Mes=3;  Dia=12;  Camas disponibles=399
Año=2019;  Mes=3;  Dia=13;  Camas disponibles=212
Año=2019;  Mes=3;  Dia=14;  Camas disponibles=325
Año=2019;  Mes=3;  Dia=15;  Camas disponibles=376
Año=2019;  Mes=3;  Dia=16;  Camas disponibles=204
Año=2019;  Mes=3;  Dia=17;  Camas disponibles=354
Año=2019;  Mes=3;  Dia=18;  Camas disponibles=322
Año=2019;  Mes=3;  Dia=19;  Camas disponibles=426
Año=2019;  Mes=3;  Dia=20;  Camas disponibles=481
Año=2019;  Mes=3;  Dia=21;  Camas disponibles=352
Año=2019;  Mes=3;  Dia=22;  Camas disponibles=68
Año=2019;  Mes=3;  Dia=23;  Camas disponibles=486
Año=2019;  Mes=3;  Dia=24;  Camas disponibles=482
Año=2019;  Mes=3;  Dia=25;  Camas disponibles=157
Año=2019;  Mes=3;  Dia=26;  Camas disponibles=89
Año=2019;  Mes=3;  Dia=27;  Camas disponibles=505
Año=2019;  Mes=3;  Dia=28;  Camas disponibles=369
Año=2019;  Mes=3;  Dia=29;  Camas disponibles=198
Año=2019;  Mes=3;  Dia=30;  Camas disponibles=122
Año=2019;  Mes=3;  Dia=31;  Camas disponibles=240
Año=2019;  Mes=4;  Dia=1;  Camas disponibles=384
Año=2019;  Mes=4;  Dia=2;  Camas disponibles=192
Año=2019;  Mes=4;  Dia=3;  Camas disponibles=74
Año=2019;  Mes=4;  Dia=4;  Camas disponibles=11
Año=2019;  Mes=4;  Dia=5;  Camas disponibles=66
Año=2019;  Mes=4;  Dia=6;  Camas disponibles=97
Año=2019;  Mes=4;  Dia=7;  Camas disponibles=265
Año=2019;  Mes=4;  Dia=8;  Camas disponibles=518
Año=2019;  Mes=4;  Dia=9;  Camas disponibles=398
Año=2019;  Mes=4;  Dia=10;  Camas disponibles=3
Año=2019;  Mes=4;  Dia=11;  Camas disponibles=277
Año=2019;  Mes=4;  Dia=12;  Camas disponibles=39
Año=2019;  Mes=4;  Dia=13;  Camas disponibles=406
Año=2019;  Mes=4;  Dia=14;  Camas disponibles=280
Año=2019;  Mes=4;  Dia=15;  Camas disponibles=665
Año=2019;  Mes=4;  Dia=16;  Camas disponibles=522
Año=2019;  Mes=4;  Dia=17;  Camas disponibles=95
Año=2019;  Mes=4;  Dia=18;  Camas disponibles=93
Año=2019;  Mes=4;  Dia=19;  Camas disponibles=544
Año=2019;  Mes=4;  Dia=20;  Camas disponibles=163
Año=2019;  Mes=4;  Dia=21;  Camas disponibles=36
Año=2019;  Mes=4;  Dia=22;  Camas disponibles=250
Año=2019;  Mes=4;  Dia=23;  Camas disponibles=688
Año=2019;  Mes=4;  Dia=24;  Camas disponibles=32
Año=2019;  Mes=4;  Dia=25;  Camas disponibles=819
Año=2019;  Mes=4;  Dia=26;  Camas disponibles=505
Año=2019;  Mes=4;  Dia=27;  Camas disponibles=231
Año=2019;  Mes=4;  Dia=28;  Camas disponibles=164
Año=2019;  Mes=4;  Dia=29;  Camas disponibles=474
Año=2019;  Mes=4;  Dia=30;  Camas disponibles=65
Año=2019;  Mes=5;  Dia=1;  Camas disponibles=108
Año=2019;  Mes=5;  Dia=2;  Camas disponibles=175
Año=2019;  Mes=5;  Dia=3;  Camas disponibles=133
Año=2019;  Mes=5;  Dia=4;  Camas disponibles=380
Año=2019;  Mes=5;  Dia=5;  Camas disponibles=255
Año=2019;  Mes=5;  Dia=6;  Camas disponibles=551
Año=2019;  Mes=5;  Dia=7;  Camas disponibles=179
Año=2019;  Mes=5;  Dia=8;  Camas disponibles=220
Año=2019;  Mes=5;  Dia=9;  Camas disponibles=430
Año=2019;  Mes=5;  Dia=10;  Camas disponibles=624
Año=2019;  Mes=5;  Dia=11;  Camas disponibles=607
Año=2019;  Mes=5;  Dia=12;  Camas disponibles=18
Año=2019;  Mes=5;  Dia=13;  Camas disponibles=106
Año=2019;  Mes=5;  Dia=14;  Camas disponibles=210
Año=2019;  Mes=5;  Dia=15;  Camas disponibles=446
Año=2019;  Mes=5;  Dia=16;  Camas disponibles=235
Año=2019;  Mes=5;  Dia=17;  Camas disponibles=61
Año=2019;  Mes=5;  Dia=18;  Camas disponibles=151
Año=2019;  Mes=5;  Dia=19;  Camas disponibles=294
Año=2019;  Mes=5;  Dia=20;  Camas disponibles=70
Año=2019;  Mes=5;  Dia=21;  Camas disponibles=216
Año=2019;  Mes=5;  Dia=22;  Camas disponibles=371
Año=2019;  Mes=5;  Dia=23;  Camas disponibles=384
Año=2019;  Mes=5;  Dia=24;  Camas disponibles=217
Año=2019;  Mes=5;  Dia=25;  Camas disponibles=254
Año=2019;  Mes=5;  Dia=26;  Camas disponibles=428
Año=2019;  Mes=5;  Dia=27;  Camas disponibles=225
Año=2019;  Mes=5;  Dia=28;  Camas disponibles=21
Año=2019;  Mes=5;  Dia=29;  Camas disponibles=105
Año=2019;  Mes=5;  Dia=30;  Camas disponibles=95
Año=2019;  Mes=5;  Dia=31;  Camas disponibles=119
Año=2019;  Mes=6;  Dia=1;  Camas disponibles=73
Año=2019;  Mes=6;  Dia=2;  Camas disponibles=115
Año=2019;  Mes=6;  Dia=3;  Camas disponibles=357
Año=2019;  Mes=6;  Dia=4;  Camas disponibles=439
Año=2019;  Mes=6;  Dia=5;  Camas disponibles=471
Año=2019;  Mes=6;  Dia=6;  Camas disponibles=350
Año=2019;  Mes=6;  Dia=7;  Camas disponibles=238
Año=2019;  Mes=6;  Dia=8;  Camas disponibles=202
Año=2019;  Mes=6;  Dia=9;  Camas disponibles=303
Año=2019;  Mes=6;  Dia=10;  Camas disponibles=234
Año=2019;  Mes=6;  Dia=11;  Camas disponibles=409
Año=2019;  Mes=6;  Dia=12;  Camas disponibles=342
Año=2019;  Mes=6;  Dia=13;  Camas disponibles=231
Año=2019;  Mes=6;  Dia=14;  Camas disponibles=23
Año=2019;  Mes=6;  Dia=15;  Camas disponibles=23
Año=2019;  Mes=6;  Dia=16;  Camas disponibles=381
Año=2019;  Mes=6;  Dia=17;  Camas disponibles=155
Año=2019;  Mes=6;  Dia=18;  Camas disponibles=469
Año=2019;  Mes=6;  Dia=19;  Camas disponibles=85
Año=2019;  Mes=6;  Dia=20;  Camas disponibles=248
Año=2019;  Mes=6;  Dia=21;  Camas disponibles=105
Año=2019;  Mes=6;  Dia=22;  Camas disponibles=202
Año=2019;  Mes=6;  Dia=23;  Camas disponibles=134
Año=2019;  Mes=6;  Dia=24;  Camas disponibles=336
Año=2019;  Mes=6;  Dia=25;  Camas disponibles=202
Año=2019;  Mes=6;  Dia=26;  Camas disponibles=183
Año=2019;  Mes=6;  Dia=27;  Camas disponibles=607
Año=2019;  Mes=6;  Dia=28;  Camas disponibles=11
Año=2019;  Mes=6;  Dia=29;  Camas disponibles=114
Año=2019;  Mes=6;  Dia=30;  Camas disponibles=83
Año=2019;  Mes=7;  Dia=1;  Camas disponibles=9
Año=2019;  Mes=7;  Dia=2;  Camas disponibles=254
Año=2019;  Mes=7;  Dia=3;  Camas disponibles=85
Año=2019;  Mes=7;  Dia=4;  Camas disponibles=93
Año=2019;  Mes=7;  Dia=5;  Camas disponibles=150
Año=2019;  Mes=7;  Dia=6;  Camas disponibles=341
Año=2019;  Mes=7;  Dia=7;  Camas disponibles=679
Año=2019;  Mes=7;  Dia=8;  Camas disponibles=73
Año=2019;  Mes=7;  Dia=9;  Camas disponibles=265
Año=2019;  Mes=7;  Dia=10;  Camas disponibles=401
Año=2019;  Mes=7;  Dia=11;  Camas disponibles=688
Año=2019;  Mes=7;  Dia=12;  Camas disponibles=94
Año=2019;  Mes=7;  Dia=13;  Camas disponibles=81
Año=2019;  Mes=7;  Dia=14;  Camas disponibles=41
Año=2019;  Mes=7;  Dia=15;  Camas disponibles=453
Año=2019;  Mes=7;  Dia=16;  Camas disponibles=800
Año=2019;  Mes=7;  Dia=17;  Camas disponibles=38
Año=2019;  Mes=7;  Dia=18;  Camas disponibles=172
Año=2019;  Mes=7;  Dia=19;  Camas disponibles=95
Año=2019;  Mes=7;  Dia=20;  Camas disponibles=132
Año=2019;  Mes=7;  Dia=21;  Camas disponibles=312
Año=2019;  Mes=7;  Dia=22;  Camas disponibles=530
Año=2019;  Mes=7;  Dia=23;  Camas disponibles=90
Año=2019;  Mes=7;  Dia=24;  Camas disponibles=60
Año=2019;  Mes=7;  Dia=25;  Camas disponibles=96
Año=2019;  Mes=7;  Dia=26;  Camas disponibles=213
Año=2019;  Mes=7;  Dia=27;  Camas disponibles=338
Año=2019;  Mes=7;  Dia=28;  Camas disponibles=491
Año=2019;  Mes=7;  Dia=29;  Camas disponibles=359
Año=2019;  Mes=7;  Dia=30;  Camas disponibles=308
Año=2019;  Mes=7;  Dia=31;  Camas disponibles=65
Año=2019;  Mes=8;  Dia=1;  Camas disponibles=174
Año=2019;  Mes=8;  Dia=2;  Camas disponibles=77
Año=2019;  Mes=8;  Dia=3;  Camas disponibles=97
Año=2019;  Mes=8;  Dia=4;  Camas disponibles=528
Año=2019;  Mes=8;  Dia=5;  Camas disponibles=217
Año=2019;  Mes=8;  Dia=6;  Camas disponibles=279
Año=2019;  Mes=8;  Dia=7;  Camas disponibles=68
Año=2019;  Mes=8;  Dia=8;  Camas disponibles=569
Año=2019;  Mes=8;  Dia=9;  Camas disponibles=441
Año=2019;  Mes=8;  Dia=10;  Camas disponibles=246
Año=2019;  Mes=8;  Dia=11;  Camas disponibles=250
Año=2019;  Mes=8;  Dia=12;  Camas disponibles=792
Año=2019;  Mes=8;  Dia=13;  Camas disponibles=10
Año=2019;  Mes=8;  Dia=14;  Camas disponibles=684
Año=2019;  Mes=8;  Dia=15;  Camas disponibles=513
Año=2019;  Mes=8;  Dia=16;  Camas disponibles=209
Año=2019;  Mes=8;  Dia=17;  Camas disponibles=543
Año=2019;  Mes=8;  Dia=18;  Camas disponibles=320
Año=2019;  Mes=8;  Dia=19;  Camas disponibles=291
Año=2019;  Mes=8;  Dia=20;  Camas disponibles=219
Año=2019;  Mes=8;  Dia=21;  Camas disponibles=31
Año=2019;  Mes=8;  Dia=22;  Camas disponibles=634
Año=2019;  Mes=8;  Dia=23;  Camas disponibles=175
Año=2019;  Mes=8;  Dia=24;  Camas disponibles=140
Año=2019;  Mes=8;  Dia=25;  Camas disponibles=69
Año=2019;  Mes=8;  Dia=26;  Camas disponibles=313
Año=2019;  Mes=8;  Dia=27;  Camas disponibles=163
Año=2019;  Mes=8;  Dia=28;  Camas disponibles=142
Año=2019;  Mes=8;  Dia=29;  Camas disponibles=618
Año=2019;  Mes=8;  Dia=30;  Camas disponibles=116
Año=2019;  Mes=8;  Dia=31;  Camas disponibles=490
Año=2019;  Mes=9;  Dia=1;  Camas disponibles=258
Año=2019;  Mes=9;  Dia=2;  Camas disponibles=260
Año=2019;  Mes=9;  Dia=3;  Camas disponibles=48
Año=2019;  Mes=9;  Dia=4;  Camas disponibles=55
Año=2019;  Mes=9;  Dia=5;  Camas disponibles=674
Año=2019;  Mes=9;  Dia=6;  Camas disponibles=400
Año=2019;  Mes=9;  Dia=7;  Camas disponibles=620
Año=2019;  Mes=9;  Dia=8;  Camas disponibles=243
Año=2019;  Mes=9;  Dia=9;  Camas disponibles=322
Año=2019;  Mes=9;  Dia=10;  Camas disponibles=272
Año=2019;  Mes=9;  Dia=11;  Camas disponibles=306
Año=2019;  Mes=9;  Dia=12;  Camas disponibles=145
Año=2019;  Mes=9;  Dia=13;  Camas disponibles=274
Año=2019;  Mes=9;  Dia=14;  Camas disponibles=219
Año=2019;  Mes=9;  Dia=15;  Camas disponibles=77
Año=2019;  Mes=9;  Dia=16;  Camas disponibles=18
Año=2019;  Mes=9;  Dia=17;  Camas disponibles=429
Año=2019;  Mes=9;  Dia=18;  Camas disponibles=243
Año=2019;  Mes=9;  Dia=19;  Camas disponibles=268
Año=2019;  Mes=9;  Dia=20;  Camas disponibles=170
Año=2019;  Mes=9;  Dia=21;  Camas disponibles=403
Año=2019;  Mes=9;  Dia=22;  Camas disponibles=356
Año=2019;  Mes=9;  Dia=23;  Camas disponibles=219
Año=2019;  Mes=9;  Dia=24;  Camas disponibles=453
Año=2019;  Mes=9;  Dia=25;  Camas disponibles=169
Año=2019;  Mes=9;  Dia=26;  Camas disponibles=186
Año=2019;  Mes=9;  Dia=27;  Camas disponibles=233
Año=2019;  Mes=9;  Dia=28;  Camas disponibles=524
Año=2019;  Mes=9;  Dia=29;  Camas disponibles=156
Año=2019;  Mes=9;  Dia=30;  Camas disponibles=729
Año=2019;  Mes=10;  Dia=1;  Camas disponibles=399
Año=2019;  Mes=10;  Dia=2;  Camas disponibles=74
Año=2019;  Mes=10;  Dia=3;  Camas disponibles=338
Año=2019;  Mes=10;  Dia=4;  Camas disponibles=50
Año=2019;  Mes=10;  Dia=5;  Camas disponibles=166
Año=2019;  Mes=10;  Dia=6;  Camas disponibles=324
Año=2019;  Mes=10;  Dia=7;  Camas disponibles=576
Año=2019;  Mes=10;  Dia=8;  Camas disponibles=297
Año=2019;  Mes=10;  Dia=9;  Camas disponibles=193
Año=2019;  Mes=10;  Dia=10;  Camas disponibles=406
Año=2019;  Mes=10;  Dia=11;  Camas disponibles=395
Año=2019;  Mes=10;  Dia=12;  Camas disponibles=258
Año=2019;  Mes=10;  Dia=13;  Camas disponibles=99
Año=2019;  Mes=10;  Dia=14;  Camas disponibles=297
Año=2019;  Mes=10;  Dia=15;  Camas disponibles=359
Año=2019;  Mes=10;  Dia=16;  Camas disponibles=186
Año=2019;  Mes=10;  Dia=17;  Camas disponibles=238
Año=2019;  Mes=10;  Dia=18;  Camas disponibles=415
Año=2019;  Mes=10;  Dia=19;  Camas disponibles=351
Año=2019;  Mes=10;  Dia=20;  Camas disponibles=472
Año=2019;  Mes=10;  Dia=21;  Camas disponibles=407
Año=2019;  Mes=10;  Dia=22;  Camas disponibles=170
Año=2019;  Mes=10;  Dia=23;  Camas disponibles=656
Año=2019;  Mes=10;  Dia=24;  Camas disponibles=653
Año=2019;  Mes=10;  Dia=25;  Camas disponibles=76
Año=2019;  Mes=10;  Dia=26;  Camas disponibles=225
Año=2019;  Mes=10;  Dia=27;  Camas disponibles=316
Año=2019;  Mes=10;  Dia=28;  Camas disponibles=673
Año=2019;  Mes=10;  Dia=29;  Camas disponibles=177
Año=2019;  Mes=10;  Dia=30;  Camas disponibles=3
Año=2019;  Mes=10;  Dia=31;  Camas disponibles=16
Año=2019;  Mes=11;  Dia=1;  Camas disponibles=491
Año=2019;  Mes=11;  Dia=2;  Camas disponibles=380
Año=2019;  Mes=11;  Dia=3;  Camas disponibles=93
Año=2019;  Mes=11;  Dia=4;  Camas disponibles=96
Año=2019;  Mes=11;  Dia=5;  Camas disponibles=28
Año=2019;  Mes=11;  Dia=6;  Camas disponibles=738
Año=2019;  Mes=11;  Dia=7;  Camas disponibles=258
Año=2019;  Mes=11;  Dia=8;  Camas disponibles=289
Año=2019;  Mes=11;  Dia=9;  Camas disponibles=432
Año=2019;  Mes=11;  Dia=10;  Camas disponibles=81
Año=2019;  Mes=11;  Dia=11;  Camas disponibles=34
Año=2019;  Mes=11;  Dia=12;  Camas disponibles=419
Año=2019;  Mes=11;  Dia=13;  Camas disponibles=614
Año=2019;  Mes=11;  Dia=14;  Camas disponibles=173
Año=2019;  Mes=11;  Dia=15;  Camas disponibles=553
Año=2019;  Mes=11;  Dia=16;  Camas disponibles=159
Año=2019;  Mes=11;  Dia=17;  Camas disponibles=266
Año=2019;  Mes=11;  Dia=18;  Camas disponibles=259
Año=2019;  Mes=11;  Dia=19;  Camas disponibles=358
Año=2019;  Mes=11;  Dia=20;  Camas disponibles=25
Año=2019;  Mes=11;  Dia=21;  Camas disponibles=213
Año=2019;  Mes=11;  Dia=22;  Camas disponibles=121
Año=2019;  Mes=11;  Dia=23;  Camas disponibles=426
Año=2019;  Mes=11;  Dia=24;  Camas disponibles=309
Año=2019;  Mes=11;  Dia=25;  Camas disponibles=67
Año=2019;  Mes=11;  Dia=26;  Camas disponibles=19
Año=2019;  Mes=11;  Dia=27;  Camas disponibles=385
Año=2019;  Mes=11;  Dia=28;  Camas disponibles=205
Año=2019;  Mes=11;  Dia=29;  Camas disponibles=13
Año=2019;  Mes=11;  Dia=30;  Camas disponibles=616
Año=2019;  Mes=12;  Dia=1;  Camas disponibles=392
Año=2019;  Mes=12;  Dia=2;  Camas disponibles=314
Año=2019;  Mes=12;  Dia=3;  Camas disponibles=134
Año=2019;  Mes=12;  Dia=4;  Camas disponibles=637
Año=2019;  Mes=12;  Dia=5;  Camas disponibles=138
Año=2019;  Mes=12;  Dia=6;  Camas disponibles=331
Año=2019;  Mes=12;  Dia=7;  Camas disponibles=5
Año=2019;  Mes=12;  Dia=8;  Camas disponibles=118
Año=2019;  Mes=12;  Dia=9;  Camas disponibles=116
Año=2019;  Mes=12;  Dia=10;  Camas disponibles=313
Año=2019;  Mes=12;  Dia=11;  Camas disponibles=706
Año=2019;  Mes=12;  Dia=12;  Camas disponibles=107
Año=2019;  Mes=12;  Dia=13;  Camas disponibles=90
Año=2019;  Mes=12;  Dia=14;  Camas disponibles=86
Año=2019;  Mes=12;  Dia=15;  Camas disponibles=106
Año=2019;  Mes=12;  Dia=16;  Camas disponibles=180
Año=2019;  Mes=12;  Dia=17;  Camas disponibles=178
Año=2019;  Mes=12;  Dia=18;  Camas disponibles=152
Año=2019;  Mes=12;  Dia=19;  Camas disponibles=389
Año=2019;  Mes=12;  Dia=20;  Camas disponibles=401
Año=2019;  Mes=12;  Dia=21;  Camas disponibles=21
Año=2019;  Mes=12;  Dia=22;  Camas disponibles=269
Año=2019;  Mes=12;  Dia=23;  Camas disponibles=120
Año=2019;  Mes=12;  Dia=24;  Camas disponibles=80
Año=2019;  Mes=12;  Dia=25;  Camas disponibles=434
Año=2019;  Mes=12;  Dia=26;  Camas disponibles=449
Año=2019;  Mes=12;  Dia=27;  Camas disponibles=739
Año=2019;  Mes=12;  Dia=28;  Camas disponibles=848
Año=2019;  Mes=12;  Dia=29;  Camas disponibles=160
Año=2019;  Mes=12;  Dia=30;  Camas disponibles=201
Año=2019;  Mes=12;  Dia=31;  Camas disponibles=250
Año=2020;  Mes=1;  Dia=1;  Camas disponibles=204
Año=2020;  Mes=1;  Dia=2;  Camas disponibles=166
Año=2020;  Mes=1;  Dia=3;  Camas disponibles=42
Año=2020;  Mes=1;  Dia=4;  Camas disponibles=271
Año=2020;  Mes=1;  Dia=5;  Camas disponibles=122
Año=2020;  Mes=1;  Dia=6;  Camas disponibles=300
Año=2020;  Mes=1;  Dia=7;  Camas disponibles=618
Año=2020;  Mes=1;  Dia=8;  Camas disponibles=68
Año=2020;  Mes=1;  Dia=9;  Camas disponibles=467
Año=2020;  Mes=1;  Dia=10;  Camas disponibles=683
Año=2020;  Mes=1;  Dia=11;  Camas disponibles=52
Año=2020;  Mes=1;  Dia=12;  Camas disponibles=432
Año=2020;  Mes=1;  Dia=13;  Camas disponibles=48
Año=2020;  Mes=1;  Dia=14;  Camas disponibles=408
Año=2020;  Mes=1;  Dia=15;  Camas disponibles=282
Año=2020;  Mes=1;  Dia=16;  Camas disponibles=159
Año=2020;  Mes=1;  Dia=17;  Camas disponibles=445
Año=2020;  Mes=1;  Dia=18;  Camas disponibles=151
Año=2020;  Mes=1;  Dia=19;  Camas disponibles=365
Año=2020;  Mes=1;  Dia=20;  Camas disponibles=179
Año=2020;  Mes=1;  Dia=21;  Camas disponibles=264
Año=2020;  Mes=1;  Dia=22;  Camas disponibles=251
Año=2020;  Mes=1;  Dia=23;  Camas disponibles=27
Año=2020;  Mes=1;  Dia=24;  Camas disponibles=95
Año=2020;  Mes=1;  Dia=25;  Camas disponibles=336
Año=2020;  Mes=1;  Dia=26;  Camas disponibles=388
Año=2020;  Mes=1;  Dia=27;  Camas disponibles=234
Año=2020;  Mes=1;  Dia=28;  Camas disponibles=175
Año=2020;  Mes=1;  Dia=29;  Camas disponibles=30
Año=2020;  Mes=1;  Dia=30;  Camas disponibles=8
Año=2020;  Mes=1;  Dia=31;  Camas disponibles=607
Año=2020;  Mes=2;  Dia=1;  Camas disponibles=189
Año=2020;  Mes=2;  Dia=2;  Camas disponibles=76
Año=2020;  Mes=2;  Dia=3;  Camas disponibles=208
Año=2020;  Mes=2;  Dia=4;  Camas disponibles=170
Año=2020;  Mes=2;  Dia=5;  Camas disponibles=38
Año=2020;  Mes=2;  Dia=6;  Camas disponibles=1
Año=2020;  Mes=2;  Dia=7;  Camas disponibles=15
Año=2020;  Mes=2;  Dia=8;  Camas disponibles=77
Año=2020;  Mes=2;  Dia=9;  Camas disponibles=569
Año=2020;  Mes=2;  Dia=10;  Camas disponibles=47
Año=2020;  Mes=2;  Dia=11;  Camas disponibles=449
Año=2020;  Mes=2;  Dia=12;  Camas disponibles=533
Año=2020;  Mes=2;  Dia=13;  Camas disponibles=153
Año=2020;  Mes=2;  Dia=14;  Camas disponibles=343
Año=2020;  Mes=2;  Dia=15;  Camas disponibles=366
Año=2020;  Mes=2;  Dia=16;  Camas disponibles=409
Año=2020;  Mes=2;  Dia=17;  Camas disponibles=127
Año=2020;  Mes=2;  Dia=18;  Camas disponibles=51
Año=2020;  Mes=2;  Dia=19;  Camas disponibles=582
Año=2020;  Mes=2;  Dia=20;  Camas disponibles=516
Año=2020;  Mes=2;  Dia=21;  Camas disponibles=553
Año=2020;  Mes=2;  Dia=22;  Camas disponibles=223
Año=2020;  Mes=2;  Dia=23;  Camas disponibles=97
Año=2020;  Mes=2;  Dia=24;  Camas disponibles=191
Año=2020;  Mes=2;  Dia=25;  Camas disponibles=189
Año=2020;  Mes=2;  Dia=26;  Camas disponibles=669
Año=2020;  Mes=2;  Dia=27;  Camas disponibles=88
Año=2020;  Mes=2;  Dia=28;  Camas disponibles=482
Año=2020;  Mes=2;  Dia=29;  Camas disponibles=564
Año=2020;  Mes=3;  Dia=1;  Camas disponibles=225
Año=2020;  Mes=3;  Dia=2;  Camas disponibles=410
Año=2020;  Mes=3;  Dia=3;  Camas disponibles=153
Año=2020;  Mes=3;  Dia=4;  Camas disponibles=148
Año=2020;  Mes=3;  Dia=5;  Camas disponibles=69
Año=2020;  Mes=3;  Dia=6;  Camas disponibles=558
Año=2020;  Mes=3;  Dia=7;  Camas disponibles=232
Año=2020;  Mes=3;  Dia=8;  Camas disponibles=201
Año=2020;  Mes=3;  Dia=9;  Camas disponibles=266
Año=2020;  Mes=3;  Dia=10;  Camas disponibles=56
Año=2020;  Mes=3;  Dia=11;  Camas disponibles=198
Año=2020;  Mes=3;  Dia=12;  Camas disponibles=133
Año=2020;  Mes=3;  Dia=13;  Camas disponibles=380
Año=2020;  Mes=3;  Dia=14;  Camas disponibles=229
Año=2020;  Mes=3;  Dia=15;  Camas disponibles=104
Año=2020;  Mes=3;  Dia=16;  Camas disponibles=20
Año=2020;  Mes=3;  Dia=17;  Camas disponibles=220
Año=2020;  Mes=3;  Dia=18;  Camas disponibles=197
Año=2020;  Mes=3;  Dia=19;  Camas disponibles=135
Año=2020;  Mes=3;  Dia=20;  Camas disponibles=75
Año=2020;  Mes=3;  Dia=21;  Camas disponibles=326
Año=2020;  Mes=3;  Dia=22;  Camas disponibles=43
Año=2020;  Mes=3;  Dia=23;  Camas disponibles=38
Año=2020;  Mes=3;  Dia=24;  Camas disponibles=331
Año=2020;  Mes=3;  Dia=25;  Camas disponibles=44
